lake,method_1,method_2,horizon_months,dm_stat,p_value,n,p_fdr
Okanagan_Lake,XGBoost_CCM_ancestors,XGBoost_Stepwise,3,1.2585285472876517,0.20820066970358342,35,0.5459119922149077
Okanagan_Lake,XGBoost_CCM_ancestors,XGBoost_Stepwise,6,1.4908865825685371,0.1359912746332561,32,0.47171973388410715
Okanagan_Lake,XGBoost_CCM_ancestors,XGBoost_Stepwise,12,-0.4047979795210083,0.685626014088405,26,0.8615602365714673
Okanagan_Lake,SARIMAX_CCM_ancestors,SARIMAX_Stepwise,1,0.5968865548390593,0.5505831244810846,37,0.7868848946446402
Okanagan_Lake,SARIMAX_CCM_ancestors,SARIMAX_Stepwise,3,2.1328338548965133,0.03293835796698352,35,0.18280788671675857
Okanagan_Lake,SARIMAX_CCM_ancestors,SARIMAX_Stepwise,6,2.0131785388101036,0.04409585014341122,32,0.21916295668292443
Okanagan_Lake,SARIMAX_CCM_ancestors,SARIMAX_Stepwise,12,2.7040475751034174,0.006850048084171334,26,0.05184240936429669
Okanagan_Lake,XGBoost_CCM_ancestors,XGBoost_AR_only,1,-0.6021615329873662,0.5470666184145734,37,0.7868848946446402
Okanagan_Lake,XGBoost_CCM_ancestors,XGBoost_AR_only,3,0.27810043928997247,0.7809352585316847,35,0.9221682308193297
Okanagan_Lake,XGBoost_CCM_ancestors,XGBoost_AR_only,6,-0.4553564472839361,0.6488528227672474,32,0.8441820163334919
Okanagan_Lake,XGBoost_CCM_ancestors,XGBoost_AR_only,12,-1.4436299235185868,0.14884310298761205,26,0.47658416629687317
Okanagan_Lake,XGBoost_CCM_ancestors,Persistence,1,0.05326336645477018,0.9575220680828092,37,1.0
Okanagan_Lake,XGBoost_CCM_ancestors,Persistence,3,-0.8957855071757825,0.3703673317444329,35,0.6780886726365177
Okanagan_Lake,XGBoost_CCM_ancestors,Persistence,6,-1.3751191363046356,0.16909451255085406,32,0.49062976258874474
Okanagan_Lake,XGBoost_CCM_ancestors,Persistence,12,-3.673508001966327,0.00023924318149215473,26,0.0039332630993913174
Okanagan_Lake,XGBoost_CCM_ancestors,XGBoost_all_vars,1,0.146008306359303,0.8839148311763338,37,0.9974600411277933
Okanagan_Lake,XGBoost_CCM_ancestors,XGBoost_all_vars,3,0.9579381223520633,0.3380939615920433,35,0.6710739791431383
Okanagan_Lake,XGBoost_CCM_ancestors,XGBoost_all_vars,6,1.4782598507932736,0.1393382396280396,32,0.47633879574861726
Okanagan_Lake,XGBoost_CCM_ancestors,XGBoost_all_vars,12,0.07523289610094244,0.9400294112073309,26,1.0
Okanagan_Lake,XGBoost_CCM_direct,XGBoost_AR_only,1,-0.22386257185570654,0.8228642399509443,37,0.9514367774432793
Okanagan_Lake,XGBoost_CCM_direct,XGBoost_AR_only,3,-0.17462659128133123,0.8613730528065295,35,0.9856949367167503
Okanagan_Lake,XGBoost_CCM_direct,XGBoost_AR_only,6,0.11525010171316856,0.908246887788096,32,1.0
Okanagan_Lake,XGBoost_CCM_direct,XGBoost_AR_only,12,-0.580858747058598,0.5613356574926467,26,0.795424569978942
Okanagan_Lake,SARIMAX_CCM_ancestors,SARIMA,1,0.44849350942204,0.6537970693914885,37,0.8441820163334919
Okanagan_Lake,SARIMAX_CCM_ancestors,SARIMA,3,1.6706210169241356,0.09479655852215618,35,0.38496651204729276
Okanagan_Lake,SARIMAX_CCM_ancestors,SARIMA,6,2.0511855087074635,0.04024888457519693,32,0.21377590145105918
Okanagan_Lake,SARIMAX_CCM_ancestors,SARIMA,12,2.8060023798987026,0.005016032185258812,26,0.04175846794227961
Okanagan_Lake,SARIMAX_CCM_ancestors,Persistence,1,-0.2492238418766937,0.8031876380116956,37,0.9384613454662969
Okanagan_Lake,SARIMAX_CCM_ancestors,Persistence,3,-1.1411388621081768,0.2538121413983372,35,0.5903994550438507
Okanagan_Lake,SARIMAX_CCM_ancestors,Persistence,6,-1.2343952408932388,0.21705566154935552,32,0.5517521778315678
Okanagan_Lake,SARIMAX_CCM_ancestors,Persistence,12,-2.4569332514810593,0.014012872014473654,26,0.08804313926074957
Okanagan_Lake,XGBoost_CCM_ancestors,SARIMAX_CCM_ancestors,1,0.3532666826045311,0.7238885207383638,37,0.8921787860341941
Okanagan_Lake,XGBoost_CCM_ancestors,SARIMAX_CCM_ancestors,3,0.2518930588654306,0.8011237248635241,35,0.9384613454662969
Okanagan_Lake,XGBoost_CCM_ancestors,SARIMAX_CCM_ancestors,6,0.5167214675727421,0.6053506079610544,32,0.8095652708876752
Okanagan_Lake,XGBoost_CCM_ancestors,SARIMAX_CCM_ancestors,12,-2.6775438906924656,0.00741641349909683,26,0.05488145989331654
Okanagan_Lake,XGBoost_all_vars,SARIMAX_all_vars,1,1.38336705376548,0.16655234727971058,37,0.49062976258874474
Okanagan_Lake,XGBoost_all_vars,SARIMAX_all_vars,3,0.10268636968412326,0.9182118918698425,35,1.0
Okanagan_Lake,XGBoost_all_vars,SARIMAX_all_vars,6,0.2620672722035754,0.7932695781861461,32,0.9334232139080799
Okanagan_Lake,XGBoost_all_vars,SARIMAX_all_vars,12,0.5344756083531328,0.5930125207104529,26,0.8077253075475525
Playgreen_Lake,XGBoost_CCM_ancestors,XGBoost_CCM_direct,1,-0.7372475789784559,0.46097180429065565,18,0.7240736359848506
Playgreen_Lake,XGBoost_CCM_ancestors,XGBoost_CCM_direct,3,-0.7859293057099767,0.43190890462713405,18,0.7079346231742702
Playgreen_Lake,XGBoost_CCM_ancestors,XGBoost_CCM_direct,6,-0.3696186658318684,0.7116666412443822,15,0.8842723564715644
Playgreen_Lake,XGBoost_CCM_ancestors,XGBoost_CCM_direct,12,,,9,
Playgreen_Lake,XGBoost_CCM_neighbor,XGBoost_CCM_ancestors,1,2.336411927682212,0.019469782895862542,18,0.11374452112846012
Playgreen_Lake,XGBoost_CCM_neighbor,XGBoost_CCM_ancestors,3,1.3216660482463973,0.18627937911274417,18,0.5212691869289395
Playgreen_Lake,XGBoost_CCM_neighbor,XGBoost_CCM_ancestors,6,0.9510473784144423,0.3415803254509391,15,0.6710739791431383
Playgreen_Lake,XGBoost_CCM_neighbor,XGBoost_CCM_ancestors,12,,,9,
Playgreen_Lake,XGBoost_CCM_ancestors,XGBoost_Stepwise,1,-1.126880531849724,0.25979299552789037,18,0.5903994550438507
Playgreen_Lake,XGBoost_CCM_ancestors,XGBoost_Stepwise,3,-0.9485031083700118,0.34287339114225324,18,0.6710739791431383
Playgreen_Lake,XGBoost_CCM_ancestors,XGBoost_Stepwise,6,1.1092017843687063,0.2673431430186317,15,0.5917820945300017
Playgreen_Lake,XGBoost_CCM_ancestors,XGBoost_Stepwise,12,,,9,
Playgreen_Lake,XGBoost_CCM_ancestors,XGBoost_AR_only,1,-0.621832907781725,0.5340517453311551,18,0.7765905292370071
Playgreen_Lake,XGBoost_CCM_ancestors,XGBoost_AR_only,3,-0.7878552079440747,0.4307814039109934,18,0.7079346231742702
Playgreen_Lake,XGBoost_CCM_ancestors,XGBoost_AR_only,6,0.5566742628693224,0.5777500045094448,15,0.8049822238562557
Playgreen_Lake,XGBoost_CCM_ancestors,XGBoost_AR_only,12,,,9,
Playgreen_Lake,XGBoost_CCM_ancestors,Persistence,1,-0.7828934587374727,0.43368967906171507,15,0.7079346231742702
Playgreen_Lake,XGBoost_CCM_ancestors,Persistence,3,-1.710876746976024,0.08710386800994963,12,0.36894686832565127
Playgreen_Lake,XGBoost_CCM_ancestors,Persistence,6,,,9,
Playgreen_Lake,XGBoost_CCM_ancestors,Persistence,12,,,8,
Playgreen_Lake,XGBoost_CCM_ancestors,XGBoost_all_vars,1,-0.755772422558075,0.4497856537559297,18,0.7177480273464315
Playgreen_Lake,XGBoost_CCM_ancestors,XGBoost_all_vars,3,-0.5978113385965947,0.5499658241431069,18,0.7868848946446402
Playgreen_Lake,XGBoost_CCM_ancestors,XGBoost_all_vars,6,2.02964933908766,0.04239219588536769,15,0.2138878974216279
Playgreen_Lake,XGBoost_CCM_ancestors,XGBoost_all_vars,12,,,9,
Playgreen_Lake,XGBoost_CCM_direct,XGBoost_AR_only,1,-0.41387188676877945,0.6789679337387953,18,0.8596818324525431
Playgreen_Lake,XGBoost_CCM_direct,XGBoost_AR_only,3,-0.6662569851191608,0.5052468547401598,18,0.7524288773242909
Playgreen_Lake,XGBoost_CCM_direct,XGBoost_AR_only,6,0.9659406861929324,0.33407386186599997,15,0.6710739791431383
Playgreen_Lake,XGBoost_CCM_direct,XGBoost_AR_only,12,,,9,
Rainy_Lake,XGBoost_CCM_ancestors,XGBoost_CCM_direct,1,-0.8368883760322385,0.4026553147804306,31,0.6947368902688258
Rainy_Lake,XGBoost_CCM_ancestors,XGBoost_CCM_direct,3,-0.03172941276066048,0.9746878386996738,29,1.0
Rainy_Lake,XGBoost_CCM_ancestors,XGBoost_CCM_direct,6,0.31564284282439525,0.7522736149797633,26,0.9077489249290843
Rainy_Lake,XGBoost_CCM_ancestors,XGBoost_CCM_direct,12,1.1804448897695623,0.23782331701861992,21,0.5697493853755428
Rainy_Lake,XGBoost_CCM_neighbor,XGBoost_CCM_ancestors,1,0.8179423103637905,0.41339012925352403,31,0.6952470355627449
Rainy_Lake,XGBoost_CCM_neighbor,XGBoost_CCM_ancestors,3,-0.27928419374218905,0.7800267354485593,29,0.9221682308193297
Rainy_Lake,XGBoost_CCM_neighbor,XGBoost_CCM_ancestors,6,-0.978209973411979,0.3279704847461242,26,0.6659400696369474
Rainy_Lake,XGBoost_CCM_neighbor,XGBoost_CCM_ancestors,12,1.133377109503006,0.2570559225791502,21,0.5903994550438507
Rainy_Lake,XGBoost_CCM_ancestors,XGBoost_Stepwise,1,0.010206047746587094,0.9918568934453853,31,1.0
Rainy_Lake,XGBoost_CCM_ancestors,XGBoost_Stepwise,3,0.8450805680589911,0.39806585695434404,29,0.6940101066272072
